,HoursActual,HoursEstimate,HoursPredict
10277,16.32,14.0,2.5807396526130093
10278,16.32,14.0,2.5807396526130093
10279,18.5,6.0,2.1477103563904696
10280,4.0,4.0,1.688893674315453
10281,5.0,5.0,1.949704530607107
10282,2.25,1.0,0.7700883866583077
10283,0.5,0.5,0.47296772133653614
10284,386.84,70.0,4.252282768878677
10285,2.7,2.5,1.643065393339268
10286,9.0,4.5,2.0080730053202562
10287,2.0,1.0,1.1915094157333956
10288,2.0,1.0,1.1915094157333956
10289,2.07,3.0,1.6402403534140215
10290,2.66,2.5,1.4196869563844403
10291,21.71,14.0,2.5515350395563545
10292,21.71,14.0,2.5515350395563545
10293,28.5,40.0,3.079092228560344
10294,20.0,7.0,2.030760100628916
10295,0.75,0.75,1.1671025093895786
10296,0.75,1.0,0.7700883866583077
10297,0.25,0.5,0.47296772133653614
10298,7.5,6.0,2.1477103563904696
10299,2.0,2.0,1.1598465074318431
10300,63.41,35.0,3.1397778931315705
10301,63.41,35.0,3.1397778931315705
10302,63.41,35.0,3.1397778931315705
10303,1.0,1.0,0.8189392644445461
10304,3.0,3.0,1.627509268436881
10305,2.39,15.0,2.6076064026502017
10306,2.5,2.0,1.1648629314888959
10307,18.93,15.0,2.5871865036201354
10308,35.68,15.0,2.6076064026502017
10309,35.68,15.0,2.6076064026502017
10310,8.12,14.0,2.6459287411256103
10311,19.01,11.0,2.381421126580838
10312,19.01,11.0,2.381421126580838
10313,7.0,2.5,1.6303343083621276
10314,7.0,2.5,1.6303343083621276
10315,6.0,8.0,2.263633919537658
10316,3.5,3.5,1.6330808539492567
10317,18.0,8.0,2.263633919537658
10318,1.46,2.0,1.1648629314888959
10319,0.39,1.0,0.7637271718810306
10320,3.22,3.5,1.4645776324447375
10321,1.5,1.5,1.0133638239732627
10322,2.0,1.0,1.2026954265503567
10323,0.62,1.0,0.826605299719946
10324,2.0,2.0,1.1598465074318431
10325,28.5,10.0,2.2535354297935264
10326,0.89,2.5,1.4196869563844403
10327,3.5,3.5,1.6330808539492567
10328,3.0,3.0,1.4530110993933656
10329,2.0,2.0,1.5775712749714415
10330,3.0,3.0,1.627509268436881
10331,2.0,2.0,1.5775712749714415
10332,2.5,2.5,1.6303343083621276
10333,0.33,0.5,0.4573019907003483
10334,1.0,3.5,1.455577995951743
10335,4.0,2.0,1.1648629314888959
10336,4.0,2.0,1.1648629314888959
10337,218.25,5.0,2.0289359974580026
10338,218.25,5.0,2.0289359974580026
10339,0.83,1.0,1.1915094157333956
10340,3.0,7.0,2.1388470152840986
10341,10.51,14.0,2.6459287411256103
10342,10.51,14.0,2.6459287411256103
10343,0.75,1.0,1.151380023659187
10344,2.0,2.0,1.6091311186590769
10345,3.5,3.5,1.6458119389263972
10346,8.55,14.0,2.585121759306322
10347,1.75,1.0,0.7637271718810306
10348,24.5,7.0,2.148675249852381
10349,3.5,3.5,1.6330808539492567
10350,11.0,10.0,2.2534468639650256
10351,3.5,3.5,1.6330808539492567
10352,1.0,1.0,0.8176311765552459
10353,3.5,3.5,1.6458119389263972
10354,28.26,28.0,2.7379258719312105
10355,2.0,2.0,1.5775712749714415
10356,0.5,0.5,0.5411783351914901
10357,2.5,3.0,1.627509268436881
10358,4.0,4.0,1.688893674315453
10359,0.5,99.0,1.2777018487720546
10360,71.0,98.0,4.20489883203933
10361,2.55,2.0,1.1648629314888959
10362,8.25,7.0,2.1388470152840986
10363,1.0,100.0,3.6315995423833765
10364,2.5,4.0,1.6649231862093312
10365,5.0,5.0,1.949704530607107
10366,2.0,70.0,4.2217857845581825
10367,9.0,100.0,3.6315995423833765
